image_directory	isComplete	raw_code	code	caption	hasAssert
7	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code related to a p...	\nproperty checkConsecutive (clk,Sig,numClk);\...	Caption: "Example of a SystemVerilog assertion...	True
10	Data/example-code/verilog examples/Textbook SV...	True	The image contains two excerpts of Verilog cod...	\nalways @(*) begin\n if (c1_long) begin\n ...	Caption: "Understanding the behavior of Verilo...	True
17	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code. Here is the c...	\nproperty p;\nlogic [3:0] tag;\n@(posedge clk...	Caption: "Debugging an Assertion in Verilog: T...	True
31	Data/example-code/verilog examples/Textbook SV...	True	The image contains a syntax example and a spec...	\nsequence_declaration ::=\nsequence sequence_...	"Example of SystemVerilog sequence declaration...	True
34	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code, excerpts of w...	\n// ...\na1: assert property (p);\n// ...\n\n...	Caption: "Verilog code examples showing how to...	True
...	...	...	...	...	...	...
4784	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code within a text ...	\n/*************************************\n* ca...	Example of Verilog PLI callback setup for cloc...	True
4786	Data/example-code/verilog examples/Textbook SV...	True	The image contains text that describes legal a...	\nnstate_e = LOAD; // legal assignmen...	"Understanding Verilog RTL Modeling Pitfalls: ...	True
4791	Data/example-code/verilog examples/Textbook SV...	True	Here is the Verilog code from the image:\n\n``...	\nalways_comb begin\n if (sel)\n y =...	Caption: "Comparing traditional Verilog error ...	True
4816	Data/example-code/verilog examples/Textbook SV...	True	```verilog\nmodule decl_in_clocking_block (log...	\nmodule decl_in_clocking_block (logic a, b, c...	"Verilog Code Example and Exercises on Clockin...	True
4818	Data/example-code/verilog examples/Textbook SV...	True	The image contains two sections of Verilog cod...	\nmodule m_illegal_disable_nesting(logic reset...	"Example of Verilog code demonstrating illegal...	True
765 rows × 6 columns

Processing textbooks with checkpoints every 100
0it [00:00, ?it/s]
101it [15:31,  6.03s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt0-100.csv

201it [29:53,  6.47s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt100-200.csv

301it [45:54,  5.00s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt200-300.csv

401it [1:00:39, 16.94s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt300-400.csv

501it [1:15:26, 11.14s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt400-500.csv

601it [1:29:53,  6.18s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt500-600.csv

701it [1:41:35,  4.13s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt600-700.csv

801it [1:53:38, 10.79s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt700-800.csv

901it [2:05:03,  4.00s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt800-900.csv

1001it [2:17:57,  6.23s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt900-1000.csv

1101it [2:32:31,  4.45s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1000-1100.csv

1201it [2:45:28, 10.07s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1100-1200.csv

1301it [2:59:03, 10.28s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1200-1300.csv

1401it [3:11:50,  3.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1300-1400.csv

1501it [3:24:50, 11.82s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1400-1500.csv

1601it [3:39:44,  7.90s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1500-1600.csv

1701it [3:53:18,  7.86s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1600-1700.csv

1801it [4:06:53,  6.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1700-1800.csv

1901it [4:19:40, 11.06s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1800-1900.csv

2001it [4:33:01,  5.36s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt1900-2000.csv

2101it [4:48:20, 11.16s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2000-2100.csv

2201it [5:00:45, 15.17s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2100-2200.csv

2301it [5:14:57,  6.19s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2200-2300.csv

2401it [5:28:46,  7.12s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2300-2400.csv

2501it [5:40:32, 11.08s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2400-2500.csv

2601it [5:54:42,  8.94s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2500-2600.csv

2701it [6:07:18,  5.75s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2600-2700.csv

2801it [6:22:00, 12.03s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2700-2800.csv

2901it [6:36:31, 10.49s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2800-2900.csv

3001it [6:49:10,  6.08s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt2900-3000.csv

3101it [7:02:13, 10.96s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3000-3100.csv

3201it [7:16:49,  9.53s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3100-3200.csv

3301it [7:31:21,  8.69s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3200-3300.csv

3401it [7:46:20,  6.05s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3300-3400.csv

3501it [8:01:44,  8.08s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3400-3500.csv

3601it [8:15:25,  6.43s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3500-3600.csv

3701it [8:29:20,  6.09s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3600-3700.csv

3801it [8:40:53, 11.57s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3700-3800.csv

3901it [8:55:17,  9.20s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3800-3900.csv

4001it [9:11:41, 11.55s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt3900-4000.csv

4101it [9:22:56,  5.67s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4000-4100.csv

4201it [9:36:27,  5.34s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4100-4200.csv

4301it [9:48:31,  9.56s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4200-4300.csv

4401it [10:00:46, 10.58s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4300-4400.csv

4457it [10:08:06,  6.71s/it]
*couldnt get code after 2 attempts
4500it [10:13:00,  8.17s/it]






Processing textbooks with checkpoints every 100
4501it [13:57,  4.41s/it] 
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4400-4500.csv

4601it [27:51, 11.05s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4500-4600.csv

4701it [40:56, 10.98s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4600-4700.csv

4801it [57:56,  8.62s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4700-4800.csv

4901it [1:11:40, 10.80s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4800-4900.csv

5001it [1:28:39, 10.22s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt4900-5000.csv

5101it [1:42:30,  4.01s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5000-5100.csv

5201it [1:55:15,  9.34s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5100-5200.csv

5301it [2:08:20,  6.29s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5200-5300.csv

5401it [2:21:19,  5.67s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5300-5400.csv

5501it [2:35:17, 10.34s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5400-5500.csv

5601it [2:47:04,  5.31s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5500-5600.csv

5701it [3:00:23,  7.01s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5600-5700.csv

5801it [3:12:59,  4.85s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5700-5800.csv

5901it [3:24:53,  9.10s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5800-5900.csv

6001it [3:39:06, 10.90s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt5900-6000.csv

6101it [3:51:36,  5.10s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6000-6100.csv

6201it [4:05:46,  9.15s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6100-6200.csv

6301it [4:17:35,  4.51s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6200-6300.csv

6401it [4:29:04, 10.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6300-6400.csv

6501it [4:42:09, 12.54s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6400-6500.csv

6601it [4:53:16,  3.66s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6500-6600.csv

6701it [5:06:50,  8.78s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6600-6700.csv

6801it [5:19:20,  5.64s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6700-6800.csv

6901it [5:30:33,  6.08s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6800-6900.csv

7001it [5:43:49,  8.12s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt6900-7000.csv

7101it [5:54:17,  5.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7000-7100.csv

7201it [6:09:11,  9.23s/it]
