image_directory,isComplete,raw_code,code,caption,hasAssert
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SpearTumbush-SystemVerilog for Verification_p460.jpg,True,"The image contains Verilog code, which I'll write out for you:

```verilog
import ""DPI-C"" function chandle counter7_new();
import ""DPI-C"" function void counter7
   (input chandle inst,
    output bit [6:0] out,
    input bit [6:0] in,
    input bit reset, load);

// Test two instances of the counter
program automatic test;

    bit [6:0] o1, o2, i1, i2;
    bit reset, load, clk;
    chandle inst1, inst2; // Points to storage in C

    initial begin
        inst1 = counter7_new();
        inst2 = counter7_new();
        fork
            forever #10 clk = ~clk;
            forever @(posedge clk) begin
                counter7(inst1, o1, i1, reset, load);
                counter7(inst2, o2, i2, reset, load);
            end
        join_none

        reset = 0; // Initialize signals
        load = 0;
        i1 = 120;
        i2 = 10;

        @(negedge clk) load = 1; // Load inputs
        @(negedge clk) load = 0; // Count
        @(negedge clk) $finish;
    end
endprogram
```

This snippet of code shows a testbench for a 7-bit counter with per-instance storage. It imports two ""DPI-C"" functions (`chandle counter7_new();` and `void counter7()`) and then sets up a test program to test two instances of the counter. Events are triggered on the positive edge of a clock signal, and it manipulates `load` and `reset` signals as part of the test sequence.","
import ""DPI-C"" function chandle counter7_new();
import ""DPI-C"" function void counter7
   (input chandle inst,
    output bit [6:0] out,
    input bit [6:0] in,
    input bit reset, load);

// Test two instances of the counter
program automatic test;

    bit [6:0] o1, o2, i1, i2;
    bit reset, load, clk;
    chandle inst1, inst2; // Points to storage in C

    initial begin
        inst1 = counter7_new();
        inst2 = counter7_new();
        fork
            forever #10 clk = ~clk;
            forever @(posedge clk) begin
                counter7(inst1, o1, i1, reset, load);
                counter7(inst2, o2, i2, reset, load);
            end
        join_none

        reset = 0; // Initialize signals
        load = 0;
        i1 = 120;
        i2 = 10;

        @(negedge clk) load = 1; // Load inputs
        @(negedge clk) load = 0; // Count
        @(negedge clk) $finish;
    end
endprogram
",Verilog code example for testing a 7-bit counter with DPI-C interface for connecting C routines.,False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p156.jpg,True,"The image contains a snippet of Verilog code, specifically defining a property. Here is the code:

```verilog
property abc;
  @(posedge clk) a |=> b[=2:5] ##1 c;
endproperty
```

The code shows a property declaration using the SystemVerilog Assertion (SVA) syntax, which is used within the Verilog hardware description language to assert logical properties in simulation and formal verification.","
property abc;
  @(posedge clk) a |=> b[=2:5] ##1 c;
endproperty
","""Explaining Verilog Non-consecutive Repetition Operators with Examples and Simulation Results""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SpearTumbush-SystemVerilog for Verification_p306.jpg,True,"The image contains code written in the Verilog/SystemVerilog language, used in hardware design and verification. Here is the code extracted from the image:

```verilog
function void Environment::build();
    // Initialize mailboxes
    gen2agt = new();
    agt2drv = new();
    mon2chk = new();

    // Initialize transactors
    gen = new(gen2agt);
    agt = new(gen2agt, agt2drv);
    drv = new(agt2drv);
    mon = new(mon2chk);
    chk = new(mon2chk);
    scb = new(cfg);
endfunction

task Environment::run();
    fork
        gen.run(cfg.run_for_n_trans);
        agt.run();
        drv.run();
        mon.run();
        chk.run();
        scb.run(cfg.run_for_n_trans);
    join
endtask

task Environment::wrap_up();
    fork
        gen.wrap_up();
        agt.wrap_up();
        drv.wrap_up();
        mon.wrap_up();
        chk.wrap_up();
        scb.wrap_up();
    join
endtask
```

The code shows the definition of functions and tasks within a class named `Environment`, which is likely part of a testbench infrastructure. The functions and tasks are used to initialize components, run operations, and clean up after execution.","
function void Environment::build();
    // Initialize mailboxes
    gen2agt = new();
    agt2drv = new();
    mon2chk = new();

    // Initialize transactors
    gen = new(gen2agt);
    agt = new(gen2agt, agt2drv);
    drv = new(agt2drv);
    mon = new(mon2chk);
    chk = new(mon2chk);
    scb = new(cfg);
endfunction

task Environment::run();
    fork
        gen.run(cfg.run_for_n_trans);
        agt.run();
        drv.run();
        mon.run();
        chk.run();
        scb.run(cfg.run_for_n_trans);
    join
endtask

task Environment::wrap_up();
    fork
        gen.wrap_up();
        agt.wrap_up();
        drv.wrap_up();
        mon.wrap_up();
        chk.wrap_up();
        scb.wrap_up();
    join
endtask
","Caption: ""Example of Verilog code for building a testbench using functions and tasks to initialize mailboxes, transactors, run simulations, and wrap up in an object-oriented approach.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p478.jpg,True,"There are snippets of code in the image. Here they are:

```verilog
m1: assume property (@(global_clock) i != $future_gclk(o));
```

And:

```verilog
type (a, ,, (posedge clk)) pa;
always @(posedge clk) pa <= a;
```

These are Verilog code examples related to future and past value functions in formal verification.","
m1: assume property (@(global_clock) i != $future_gclk(o));


type (a, ,, (posedge clk)) pa;
always @(posedge clk) pa <= a;
","""Exploring the use of future and past value functions in SystemVerilog for formal verification and the impact on efficiency and simulation load.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SpearTumbush-SystemVerilog for Verification_p474.jpg,True,"```verilog
import ""DPI-C"" function void view_pack(input bit [63:0] b64 []);

program automatic test;
  bit [1:0][0:3][6:-1] bpack[9:1];

  initial begin
    foreach(bpack[i]) bpack[i] = i;
    bpack[2] = 64'h12345678_90abcdef;
    
    $display(""SV: bpack[2]=%h"", bpack[2]); // 64 bits
    $display(""SV: bpack[2][0]=%h"", bpack[2][0]); // 32 bits
    $display(""SV: bpack[2][0][0]=%h"", bpack[2][0][0]); // 8 bits

    view_pack(bpack);
  end
endprogram : test
```

```c
void view_pack(const svOpenArrayHandle h) {
  int i;

  for (i=svLow(h,1); i<=svHigh(h,1); i++)
    io_printf(""C: b64[%d]=%llx\n"", i, *(long long int *)svGetArrElemPtr1(h, i));
}
```","
import ""DPI-C"" function void view_pack(input bit [63:0] b64 []);

program automatic test;
  bit [1:0][0:3][6:-1] bpack[9:1];

  initial begin
    foreach(bpack[i]) bpack[i] = i;
    bpack[2] = 64'h12345678_90abcdef;
    
    $display(""SV: bpack[2]=%h"", bpack[2]); // 64 bits
    $display(""SV: bpack[2][0]=%h"", bpack[2][0]); // 32 bits
    $display(""SV: bpack[2][0][0]=%h"", bpack[2][0][0]); // 8 bits

    view_pack(bpack);
  end
endprogram : test

view_pack(const svOpenArrayHandle h) {
  int i;

  for (i=svLow(h,1); i<=svHigh(h,1); i++)
    io_printf(""C: b64[%d]=%llx\n"", i, *(long long int *)svGetArrElemPtr1(h, i));
}
",Sample code demonstrating the use of packed open arrays in SystemVerilog and interfacing with C code using DPI-C.,False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p142.jpg,True,"The image contains Verilog code related to a property specification using SystemVerilog assertions. Here is the code from the image:

```verilog
property checkConsecutive (clk,Sig,numClk);
    @(posedge clk) disable iff (rst) Sig |-> not (Sig[*numClk]);
endproperty

checkADS: assert property(checkConsecutive(busClk, ADS,2))
          else $display($stime,,,"" Error: ADS asserted consecutively for 2 Clocks"");
```","
property checkConsecutive (clk,Sig,numClk);
    @(posedge clk) disable iff (rst) Sig |-> not (Sig[*numClk]);
endproperty

checkADS: assert property(checkConsecutive(busClk, ADS,2))
          else $display($stime,,,"" Error: ADS asserted consecutively for 2 Clocks"");
","Caption: ""Example of a SystemVerilog assertion to check that a signal is not asserted for more than 2 consecutive clock cycles.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p336.jpg,True,"The image contains two excerpts of Verilog code. Here they are:

First snippet:
```verilog
always @(*) begin
    if (c1_long) begin
        for (int i=0; i<4; i++) begin
            dreg[i] <= tr[i+1];
            a19: assert property (@(posedge clk) dreg[i] |=> r12);
        end
    end
end
```

Second snippet:
```verilog
always @(*) begin: B1
    r11 <= v11 | v12;
    a20_1: assert property (@(posedge clk) v11 |=> v12);
    #5;
    r12 <= v12 & v13;
    a20_2: assert property (@(posedge clk) r11 |=> r12);
end
```","
always @(*) begin
    if (c1_long) begin
        for (int i=0; i<4; i++) begin
            dreg[i] <= tr[i+1];
            a19: assert property (@(posedge clk) dreg[i] |=> r12);
        end
    end
end


always @(*) begin: B1
    r11 <= v11 | v12;
    a20_1: assert property (@(posedge clk) v11 |=> v12);
    #5;
    r12 <= v12 & v13;
    a20_2: assert property (@(posedge clk) r11 |=> r12);
end
","Caption: ""Understanding the behavior of Verilog assertions within for loops and procedural blocks, highlighting how they interact with the procedural assertion queue.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p321.jpg,True,"The image contains snippets of code, which I will transcribe for you:

Read a string and use it immediately:

```c
char *string_p; /* string pointer only, no storage */
string_p = tf_strgetp(1, 'b');
io_printf(""string_p points to %s\n"", string_p);
```

Read a string and copy it to application-allocated storage for later use:

```c
char *string_p; /* string pointer only, no storage */
char *string_keep; /* another string pointer only */
string_p = tf_strgetp(1, 'b'); /* get string from 1st arg */
string_keep = malloc(strlen(string_p)+1);
strcpy(string, string_p); /* save string for later use */
```

Please note that in the second code snippet there seems to be a minor error. The `strcpy` function should use `string_keep` as the destination for the copy operation rather than `string` (which has not been declared). The correct line should probably be:

```c
strcpy(string_keep, string_p); /* save string for later use */
```","*string_p; /* string pointer only, no storage */
string_p = tf_strgetp(1, 'b');
io_printf(""string_p points to %s\n"", string_p);

*string_p; /* string pointer only, no storage */
char *string_keep; /* another string pointer only */
string_p = tf_strgetp(1, 'b'); /* get string from 1st arg */
string_keep = malloc(strlen(string_p)+1);
strcpy(string, string_p); /* save string for later use */

y(string_keep, string_p); /* save string for later use */
","Caption: ""Verilog PLI usage for handling string buffers via temporary pointers in C.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p335.jpg,True,"The image contains a piece of Verilog code, specifically a function prototype. Here is the code from the image:

```c
char *tf_longtime_tostr(lowtime, hightime)
int lowtime; /* lower (right-most) 32-bits of a 64-bit unsigned integer. */
int hightime; /* upper (left-most) 32-bits of a 64-bit unsigned integer. */
```

This function, `tf_longtime_tostr`, converts a 64-bit simulation time represented as a pair of 32-bit integers into a character string, and it returns a pointer to this string. The string is stored in temporary simulation-allocated storage.","*tf_longtime_tostr(lowtime, hightime)
int lowtime; /* lower (right-most) 32-bits of a 64-bit unsigned integer. */
int hightime; /* upper (left-most) 32-bits of a 64-bit unsigned integer. */
","""Table of time unit values in Verilog and documentation for a utility routine to convert 64-bit time values to strings.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SpearTumbush-SystemVerilog for Verification_p448.jpg,True,"```verilog
while (mif.Rdy_Dtack==0) #10;
endtask : HostRead

task CPU_driver::run();
  CellCfgType CellFwd;
  Initialize_Host();

  // Configure through Host interface
  repeat (10) @(negedge clk);
  $write(""Memory: Loading ... "");
  for (int i=0; i<=255; i++) begin
    CellFwd.FWD = $urandom();
`ifdef FWDALL
    CellFwd.FWD = '1
`endif
    CellFwd.VPI = i;
    HostWrite(i, CellFwd);
    lookup[i] = CellFwd;
  end

  // Verify memory
  $write(""Verifying ..."");
  for (int i=0; i<=255; i++) begin
    HostRead(i, CellFwd);
    if (lookup[i] != CellFwd) begin
      $display(""FATAL, Mem Loc 0x%xx contains 0x%xx, expected 0x%xx"",
               i, CellFwd, lookup[i]);

      $finish;
    end
  end
  $display(""Verified"");

endtask : run
```","
while (mif.Rdy_Dtack==0) #10;
endtask : HostRead

task CPU_driver::run();
  CellCfgType CellFwd;
  Initialize_Host();

  // Configure through Host interface
  repeat (10) @(negedge clk);
  $write(""Memory: Loading ... "");
  for (int i=0; i<=255; i++) begin
    CellFwd.FWD = $urandom();
`ifdef FWDALL
    CellFwd.FWD = '1
`endif
    CellFwd.VPI = i;
    HostWrite(i, CellFwd);
    lookup[i] = CellFwd;
  end

  // Verify memory
  $write(""Verifying ..."");
  for (int i=0; i<=255; i++) begin
    HostRead(i, CellFwd);
    if (lookup[i] != CellFwd) begin
      $display(""FATAL, Mem Loc 0x%xx contains 0x%xx, expected 0x%xx"",
               i, CellFwd, lookup[i]);

      $finish;
    end
  end
  $display(""Verified"");

endtask : run
","Caption: ""Verilog task for memory initialization and verification, highlighting configuration through a host interface and random memory checking.""",False
